year,event,player,team,region,role,rating,agents,rounds
2021,Champions,mitch,C9,Americas,Sentinel,0.96,"sage,killjoy,cypher",236
2021,Champions,Boaster,FNC,EMEA,Controller,0.95,"sova,astra,viper",207
2021,Champions,soulcas,TL,EMEA,Initiator,0.94,"kayo,sova,raze",187
2021,Champions,BORKUM,TS,Pacific,Controller,0.94,"viper,astra,omen",163
2021,Champions,JessieVash,TS,Pacific,Flex,0.94,"sova,sage",163
2021,Champions,gtn,VKS,Americas,Duelist,0.93,"jett,raze",145
2021,Champions,k1Ng,VS,Pacific,Sentinel,0.93,"killjoy,cypher,astra",147
2021,Champions,Jamppi,TL,EMEA,Flex,0.92,"killjoy,jett,sova",187
2021,Champions,Xeppaa,C9,Americas,Flex,0.91,"raze,kayo",236
2021,Champions,sScary,X10,Pacific,Controller,0.90,"viper,astra",208
2021,Champions,Lakia,VS,Pacific,Initiator,0.90,sova,23
2021,Champions,Mistic,FNC,EMEA,Controller,0.90,"viper,astra",207
2021,Champions,Klaus,KRÜ,Americas,Flex,0.90,"killjoy,viper,sova",317
2021,Champions,dapr,SEN,Americas,Sentinel,0.90,"cypher,killjoy,viper",199
2021,Champions,FiNESSE,ENVY,Americas,Flex,0.90,"killjoy,viper",156
2021,Champions,vanity,C9,Americas,Controller,0.89,"viper,astra",236
2021,Champions,Khalil,FUR,Americas,Flex,0.89,"killjoy,astra",134
2021,Champions,SuperBusS,FS,Pacific,Controller,0.88,"astra,viper",82
2021,Champions,zombs,SEN,Americas,Controller,0.88,"astra,viper",199
2021,Champions,Crws,X10,Pacific,Initiator,0.88,"kayo,sage,breach",208
2021,Champions,murizzz,VKS,Americas,Sentinel,0.86,"killjoy,sage,reyna",98
2021,Champions,Kiles,ACE,EMEA,Sentinel,0.85,"viper,cypher,killjoy",290
2021,Champions,PTC,FS,Pacific,Initiator,0.83,"breach,skye,jett",82
2021,Champions,delz1k,KRÜ,Americas,Controller,0.83,"astra,sage,viper",317
2021,Champions,Munchkin,CR,Pacific,Initiator,0.83,"kayo,sova,cypher",76
2021,Champions,mazin,FUR,Americas,Initiator,0.82,"astra,skye,breach",134
